idposition,idcollar,acquisitiontime,scts,origincode,ecefx,ecefy,ecefz,latitude,longitude,height,dop,idfixtype,positionerror,satcount,ch01satid,ch01satcnr,ch02satid,ch02satcnr,ch03satid,ch03satcnr,ch04satid,ch04satcnr,ch05satid,ch05satcnr,ch06satid,ch06satcnr,ch07satid,ch07satcnr,ch08satid,ch08satcnr,ch09satid,ch09satcnr,ch10satid,ch10satcnr,ch11satid,ch11satcnr,ch12satid,ch12satcnr,idmortalitystatus,activity,mainvoltage,backupvoltage,temperature,transformedx,transformedy
59000608,1000001,2018-07-10T06:11:17,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.42,3.42,22,NA,NA
59000619,1000001,2000-01-01T20:59:25,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.42,3.42,22,NA,NA
59000629,1000001,2018-07-10T06:14:04,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.42,3.42,22,NA,NA
59000637,1000001,2018-07-10T06:21:11,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.42,3.42,21,NA,NA
59000642,1000001,2018-07-10T06:32:16,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.4,3.42,21,NA,NA
59000651,1000001,2018-07-10T07:03:26,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.42,3.42,21,NA,NA
59000658,1000001,2000-01-02T00:39:17,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.38,3.4,27,NA,NA
59000664,1000001,2000-01-02T02:08:45,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.38,3.4,27,NA,NA
59000677,1000001,2018-07-09T19:14:51,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.44,3.44,29,NA,NA
59000682,1000001,2000-01-02T09:37:13,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.42,3.42,23,NA,NA
59000691,1000001,2000-01-02T14:01:41,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.42,3.44,24,NA,NA
59000698,1000001,2018-07-09T20:06:08,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.44,3.44,28,NA,NA
59000710,1000001,2000-01-02T17:47:09,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.42,3.42,22,NA,NA
59000717,1000001,2000-01-02T21:17:01,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.38,3.38,21,NA,NA
59000725,1000001,2000-01-02T22:39:08,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.42,3.44,25,NA,NA
59000732,1000001,2000-01-03T10:26:31,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.42,3.42,25,NA,NA
59000737,1000001,2000-01-03T14:31:18,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.42,3.42,24,NA,NA
59000750,1000001,2018-07-09T21:29:25,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.44,3.44,26,NA,NA
59000758,1000001,2000-01-04T20:28:45,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.44,3.44,31,NA,NA
59000762,1000001,2000-01-05T02:36:15,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.44,3.44,29,NA,NA
59000774,1000001,2000-01-05T11:41:12,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.44,3.44,27,NA,NA
59000779,1000001,2018-07-09T22:15:47,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.44,3.44,28,NA,NA
59000784,1000001,2000-01-05T20:51:01,2018-07-10T09:30:45,C,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3.4,3.42,31,NA,NA
